perturbation,param,group,EER,EER_threshold,ZeroFMR_FMR,ZeroFMR_FNMR,ZeroFMR_threshold,FMR100_FMR,FMR100_FNMR,FMR100_threshold,FMR1000_FMR,FMR1000_FNMR,FMR1000_threshold
contrast,α=3,overall,0.15183333333333335,0.32313627004623413,0.0,0.85625,0.6006388068199158,0.01,0.45975,0.4536530375480652,0.001,0.6850833333333333,0.5303905606269836
contrast,α=3,African,0.19833333333333333,0.32313627004623413,0.0,0.872,0.6006388068199158,0.016,0.4776666666666667,0.4536530375480652,0.0023333333333333335,0.7136666666666667,0.5303905606269836
contrast,α=3,Asian,0.14700000000000002,0.32313627004623413,0.0,0.845,0.6006388068199158,0.010333333333333333,0.4653333333333333,0.4536530375480652,0.001,0.6783333333333333,0.5303905606269836
contrast,α=3,Caucasian,0.129,0.32313627004623413,0.0,0.8496666666666667,0.6006388068199158,0.008,0.44866666666666666,0.4536530375480652,0.0,0.6693333333333333,0.5303905606269836
contrast,α=3,Indian,0.133,0.32313627004623413,0.0,0.8583333333333333,0.6006388068199158,0.005666666666666667,0.44733333333333336,0.4536530375480652,0.0006666666666666666,0.679,0.5303905606269836
contrast,α=4,overall,0.21037500000000003,0.3077426552772522,0.0,0.92325,0.6136360168457031,0.01,0.6014166666666667,0.46788060665130615,0.001,0.791,0.5427817106246948
contrast,α=4,African,0.2635,0.3077426552772522,0.0,0.9406666666666667,0.6136360168457031,0.017,0.646,0.46788060665130615,0.0013333333333333333,0.8243333333333334,0.5427817106246948
contrast,α=4,Asian,0.19266666666666665,0.3077426552772522,0.0,0.918,0.6136360168457031,0.006333333333333333,0.5913333333333334,0.46788060665130615,0.001,0.7773333333333333,0.5427817106246948
contrast,α=4,Caucasian,0.19066666666666665,0.3077426552772522,0.0,0.9136666666666666,0.6136360168457031,0.009,0.5776666666666667,0.46788060665130615,0.001,0.7716666666666666,0.5427817106246948
contrast,α=4,Indian,0.19466666666666665,0.3077426552772522,0.0,0.9206666666666666,0.6136360168457031,0.007666666666666666,0.5906666666666667,0.46788060665130615,0.0006666666666666666,0.7906666666666666,0.5427817106246948
gaussian_blur,σ=0,overall,0.05449999999999999,0.3601016402244568,0.0,0.5327500000000001,0.5556145906448364,0.01,0.1356666666666667,0.42089518904685974,0.001,0.3159166666666666,0.4944778382778168
gaussian_blur,σ=0,African,0.06966666666666667,0.3601016402244568,0.0,0.5083333333333333,0.5556145906448364,0.023333333333333334,0.10733333333333334,0.42089518904685974,0.0026666666666666666,0.2906666666666667,0.4944778382778168
gaussian_blur,σ=0,Asian,0.057166666666666664,0.3601016402244568,0.0,0.569,0.5556145906448364,0.008333333333333333,0.16766666666666666,0.42089518904685974,0.0013333333333333333,0.362,0.4944778382778168
gaussian_blur,σ=0,Caucasian,0.03816666666666667,0.3601016402244568,0.0,0.5336666666666666,0.5556145906448364,0.003,0.142,0.42089518904685974,0.0,0.321,0.4944778382778168
gaussian_blur,σ=0,Indian,0.053,0.3601016402244568,0.0,0.52,0.5556145906448364,0.005333333333333333,0.12566666666666668,0.42089518904685974,0.0,0.29,0.4944778382778168
gaussian_blur,σ=0.2,overall,0.05449999999999999,0.3601013720035553,0.0,0.5327500000000001,0.5556144118309021,0.01,0.1356666666666667,0.42089471220970154,0.001,0.31599999999999995,0.4944780468940735
gaussian_blur,σ=0.2,African,0.06966666666666667,0.3601013720035553,0.0,0.5083333333333333,0.5556144118309021,0.023333333333333334,0.10733333333333334,0.42089471220970154,0.0026666666666666666,0.2906666666666667,0.4944780468940735
