perturbation,param,EER_FDR,EER_FDR_A,EER_FDR_B,EER_DoB,ZeroFMR_FDR,ZeroFMR_FDR_A,ZeroFMR_FDR_B,ZeroFMR_DoB,FMR100_FDR,FMR100_FDR_A,FMR100_FDR_B,FMR100_DoB,FMR1000_FDR,FMR1000_FDR_A,FMR1000_FDR_B,FMR1000_DoB
S&P,p=0.3,0.9331666666666667,0.06683333333333336,0.06683333333333336,0.02452050587433574,0.9998333333333334,0.0,0.0003333333333332966,0.0001666666666666483,0.9796666666666667,0.016666666666666666,0.02399999999999991,0.009195409482755785,0.9973333333333334,0.002,0.0033333333333332993,0.0013616778865306685
brightness,β=0.05,0.9166666666666667,0.08333333333333331,0.08333333333333331,0.03287275552118433,0.9983333333333333,0.0,0.0033333333333332993,0.0013616778865306685,0.9563333333333333,0.011333333333333334,0.07600000000000007,0.03078814255882001,0.9683333333333333,0.002,0.06133333333333335,0.023765492023333147
brightness,β=0.1,0.9586666666666667,0.04133333333333333,0.04133333333333333,0.01549574314305563,0.9773333333333334,0.0,0.04533333333333334,0.01631887114832259,0.9661666666666666,0.014333333333333333,0.053333333333333344,0.01952402366316944,0.9813333333333334,0.002,0.03533333333333333,0.014413294403277687
brightness,β=0.15,0.9663333333333333,0.03366666666666668,0.03366666666666668,0.012549001177605955,0.986,0.0,0.028000000000000025,0.010214368964029717,0.9661666666666666,0.014333333333333333,0.053333333333333344,0.021838421798899915,0.9754999999999999,0.0026666666666666666,0.04633333333333339,0.016866304343934473
brightness,β=0.2,0.966,0.034,0.034,0.01265261007328791,0.9811666666666667,0.0,0.037666666666666626,0.013810221657244383,0.9675,0.016,0.049000000000000016,0.018825219491121186,0.9721666666666666,0.0033333333333333335,0.05233333333333334,0.018679311193581703
brightness,β=0.25,0.969,0.031,0.031,0.011592023119369629,0.9748333333333333,0.0,0.050333333333333286,0.01784267668011474,0.9645,0.017333333333333333,0.05366666666666667,0.01941434177783699,0.9725,0.0036666666666666666,0.05133333333333334,0.0190751438031568
brightness,β=0.5,0.9711666666666666,0.02883333333333333,0.02883333333333333,0.010441221059925041,0.984,0.0,0.03200000000000003,0.011823646269705095,0.9588333333333333,0.019000000000000003,0.06333333333333335,0.02258502453692122,0.972,0.0033333333333333335,0.05266666666666664,0.019831757640489424
brightness,β=0.75,0.9708333333333333,0.029166666666666674,0.029166666666666674,0.010415916639664725,0.9796666666666667,0.0,0.04066666666666674,0.01625747691234887,0.9603333333333334,0.021333333333333336,0.057999999999999996,0.021418449990603893,0.9636666666666667,0.003,0.06966666666666665,0.026350732648469394
brightness,β=0.8,0.9685,0.03150000000000001,0.03150000000000001,0.011230538722608104,0.9786666666666666,0.0,0.04266666666666674,0.01678520347078212,0.9588333333333333,0.021333333333333333,0.060999999999999985,0.02249861106824152,0.964,0.003,0.069,0.026523967149228136
brightness,β=0.85,0.9686666666666667,0.03133333333333334,0.03133333333333334,0.011170008828206998,0.9748333333333333,0.0,0.05033333333333334,0.019228703948928953,0.9586666666666667,0.021666666666666667,0.060999999999999985,0.022573952541221774,0.9631666666666667,0.0033333333333333335,0.0703333333333333,0.02770328901452356
brightness,β=0.9,0.9683333333333333,0.031666666666666676,0.031666666666666676,0.011233939152803392,0.9731666666666667,0.0,0.05366666666666664,0.02043468592586851,0.9603333333333334,0.020999999999999998,0.058333333333333334,0.02137885767658215,0.9626666666666667,0.0033333333333333335,0.07133333333333336,0.02813163501982936
brightness,β=0.95,0.9686666666666667,0.03133333333333334,0.03133333333333334,0.011165733791879115,0.9733333333333334,0.0,0.053333333333333344,0.020609295367759548,0.9586666666666667,0.020666666666666667,0.062,0.022639689829049237,0.963,0.003,0.07100000000000001,0.028623028801609683
brightness,β=1,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
brightness,β=1.05,0.9693333333333334,0.03066666666666667,0.03066666666666667,0.010847746821857115,0.9713333333333334,0.0,0.05733333333333335,0.022251716538031138,0.9568333333333333,0.020999999999999998,0.06533333333333334,0.023812928328022905,0.9628333333333333,0.0026666666666666666,0.07166666666666666,0.029124612539149008
brightness,β=1.1,0.9701666666666666,0.02983333333333333,0.02983333333333333,0.01067992340276319,0.97,0.0,0.05999999999999994,0.023194827009486385,0.956,0.020333333333333335,0.06766666666666667,0.025009442661167447,0.9586666666666667,0.0026666666666666666,0.08000000000000002,0.032194180806129825
brightness,β=1.15,0.9708333333333333,0.029166666666666674,0.029166666666666674,0.010680004681646916,0.9766666666666667,0.0,0.046666666666666634,0.0187029038149457,0.9501666666666667,0.020999999999999998,0.07866666666666665,0.02886510773311688,0.9543333333333334,0.0033333333333333335,0.08800000000000002,0.034888214342382165
brightness,β=1.2,0.9698333333333333,0.030166666666666668,0.030166666666666668,0.011218164833083093,0.9833333333333334,0.0,0.033333333333333326,0.012880594793029635,0.9468333333333333,0.019,0.08733333333333333,0.031871595678771895,0.9526666666666667,0.0033333333333333335,0.09133333333333332,0.03578135765388948
brightness,β=1.25,0.9718333333333333,0.028166666666666673,0.028166666666666673,0.010262103287771418,0.978,0.0,0.04400000000000004,0.019322554466506516,0.9436666666666667,0.019666666666666666,0.093,0.034036744850235015,0.946,0.003,0.10499999999999998,0.040077269118541495
brightness,β=1.5,0.9705,0.029499999999999985,0.029499999999999985,0.01046248257664817,0.978,0.0,0.04399999999999993,0.016132265804901652,0.909,0.014333333333333333,0.16766666666666666,0.06253060361845941,0.9091666666666667,0.0023333333333333335,0.17933333333333334,0.0677734686699416
brightness,β=1.75,0.9673333333333334,0.03266666666666666,0.03266666666666666,0.012368755439053322,0.9683333333333334,0.0,0.06333333333333324,0.023022935424388307,0.8586666666666667,0.013000000000000001,0.26966666666666667,0.10269453085080367,0.881,0.001,0.23700000000000004,0.09376370270229545
brightness,β=2,0.9578333333333333,0.042166666666666686,0.042166666666666686,0.015349346258246823,0.973,0.0,0.05400000000000005,0.02051354566025961,0.8328333333333333,0.011999999999999999,0.3223333333333333,0.13032374218759132,0.8821666666666667,0.0026666666666666666,0.23299999999999998,0.09404974304412886
brightness,β=2.5,0.9436666666666667,0.056333333333333346,0.056333333333333346,0.020442118489367323,0.9975,0.0,0.0050000000000000044,0.0022653795365113654,0.8053333333333333,0.018666666666666668,0.3706666666666667,0.144272576704268,0.9643333333333334,0.0026666666666666666,0.06866666666666665,0.027131751591897704
brightness,β=3,0.9285,0.07150000000000001,0.07150000000000001,0.026748572132192613,0.9998333333333334,0.0,0.0003333333333332966,0.00014433756729739057,0.884,0.024333333333333332,0.20766666666666667,0.08051893324623166,0.994,0.0023333333333333335,0.009666666666666601,0.003760171390892799
contrast,α=0.2,0.953,0.047,0.047,0.017330728971011768,0.959,0.0,0.08200000000000007,0.029730736059954323,0.9563333333333334,0.012,0.07533333333333331,0.02874154465036436,0.9584999999999999,0.002,0.08100000000000007,0.031733591560574016
contrast,α=0.4,0.9703333333333334,0.02966666666666666,0.02966666666666666,0.011348259166546693,0.9718333333333333,0.0,0.056333333333333346,0.02029145277094658,0.9596666666666667,0.019,0.061666666666666675,0.023324998511373065,0.9698333333333333,0.0026666666666666666,0.057666666666666644,0.02076187745738702
contrast,α=0.6,0.9706666666666667,0.029333333333333343,0.029333333333333343,0.01107824131148783,0.9735,0.0,0.05300000000000005,0.019266226926930988,0.9626666666666667,0.019666666666666666,0.05499999999999999,0.02171325120238279,0.9633333333333334,0.0026666666666666666,0.07066666666666666,0.026649994788408907
contrast,α=0.8,0.9685,0.0315,0.0315,0.01130572617943865,0.9708333333333333,0.0,0.05833333333333335,0.021961298028830428,0.9586666666666667,0.020333333333333335,0.06233333333333334,0.024146543345902653,0.9625,0.0026666666666666666,0.07233333333333336,0.028795615985771173
contrast,α=1,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
contrast,α=1.2,0.9635,0.0365,0.0365,0.012910146203664773,0.9786666666666667,0.0,0.04266666666666663,0.015099668870541486,0.9568333333333333,0.02033333333333333,0.066,0.02360025894396547,0.9635,0.0026666666666666666,0.07033333333333336,0.025152175739773387
contrast,α=1.5,0.9623333333333334,0.03766666666666667,0.03766666666666667,0.013442457095999146,0.9858333333333333,0.0,0.02833333333333332,0.010201783613118284,0.9575,0.019666666666666666,0.06533333333333335,0.023447340526758637,0.9728333333333333,0.0023333333333333335,0.052000000000000046,0.01849530721261179
contrast,α=2,0.9566666666666667,0.043333333333333335,0.043333333333333335,0.015868546369749464,0.9893333333333334,0.0,0.021333333333333315,0.008169642315031644,0.966,0.022,0.045999999999999985,0.016493054093567182,0.9878333333333333,0.003,0.021333333333333315,0.007747759532779635
contrast,α=3,0.9306666666666666,0.06933333333333333,0.06933333333333333,0.02766616465408002,0.9864999999999999,0.0,0.027000000000000024,0.010275037172141467,0.9796666666666667,0.010333333333333333,0.030333333333333323,0.012541874306143843,0.9766666666666667,0.0023333333333333335,0.044333333333333336,0.016938409672168815
contrast,α=4,0.9271666666666667,0.07283333333333336,0.07283333333333336,0.030704319050148858,0.9864999999999999,0.0,0.027000000000000024,0.010361185582097575,0.9605,0.010666666666666668,0.06833333333333336,0.026310512263267617,0.9733333333333333,0.0006666666666666666,0.05266666666666675,0.0204436895995915
gaussian_blur,σ=0,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
gaussian_blur,σ=0.2,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9628333333333333,0.0026666666666666666,0.07166666666666666,0.029332386348350323
gaussian_blur,σ=0.4,0.9688333333333333,0.031166666666666676,0.031166666666666676,0.011195547229938242,0.9704999999999999,0.0,0.05900000000000005,0.023257615240317907,0.9588333333333333,0.02,0.062333333333333324,0.022774864312316862,0.9615,0.0026666666666666666,0.07433333333333336,0.0298202951024969
gaussian_blur,σ=0.6,0.9728333333333333,0.027166666666666665,0.027166666666666665,0.009897039400188769,0.9655,0.0,0.06900000000000006,0.026158703671584706,0.9596666666666667,0.018333333333333333,0.06233333333333334,0.02387525450707862,0.9598333333333333,0.0026666666666666666,0.07766666666666666,0.030889138688038692
gaussian_blur,σ=0.8,0.9733333333333334,0.02666666666666665,0.02666666666666665,0.009593834825900776,0.9658333333333333,0.0,0.0683333333333333,0.025949737742198636,0.9628333333333333,0.016333333333333335,0.057999999999999996,0.022686725193381264,0.9595,0.0023333333333333335,0.07866666666666666,0.029264478847610156
gaussian_blur,σ=1,0.9698333333333333,0.030166666666666668,0.030166666666666668,0.01101293431480558,0.9668333333333333,0.0,0.06633333333333336,0.02456779169744178,0.9638333333333333,0.014333333333333332,0.057999999999999996,0.022192341021172148,0.9608333333333333,0.002,0.07633333333333331,0.028766299727285047
gaussian_blur,σ=1.2,0.9608333333333333,0.03916666666666667,0.03916666666666667,0.014340780526565183,0.9748333333333333,0.0,0.05033333333333334,0.019611504560107344,0.9676666666666667,0.014333333333333332,0.05033333333333334,0.020913180320341316,0.9635,0.002,0.07100000000000001,0.02604589965597059
gaussian_blur,σ=1.4,0.9541666666666667,0.04583333333333332,0.04583333333333332,0.01669721159355657,0.9716666666666667,0.0,0.056666666666666754,0.02193598641502135,0.9641666666666667,0.016,0.05566666666666664,0.021653040587101536,0.9676666666666667,0.0016666666666666668,0.063,0.022913333090873823
gaussian_blur,σ=1.6,0.9458333333333333,0.05416666666666667,0.05416666666666667,0.019502270167000214,0.9666666666666667,0.0,0.06666666666666665,0.025200721991420975,0.9635,0.016666666666666666,0.056333333333333346,0.020053400930737136,0.9725,0.002,0.05299999999999999,0.020167355360141352
gaussian_blur,σ=1.8,0.9433333333333334,0.05666666666666667,0.05666666666666667,0.0203757668567345,0.9788333333333333,0.0,0.042333333333333334,0.01745947689174372,0.9625,0.017666666666666664,0.05733333333333335,0.02099785041908391,0.9698333333333333,0.0016666666666666668,0.058666666666666645,0.02257518303112709
gaussian_blur,σ=2,0.9443333333333334,0.05566666666666664,0.05566666666666664,0.020150475594056493,0.9775,0.0,0.04500000000000004,0.017361155555498678,0.9645,0.018666666666666665,0.05233333333333334,0.021347651445117386,0.965,0.0016666666666666668,0.06833333333333336,0.025131183595065505
gaussian_blur,σ=2.2,0.9365,0.0635,0.0635,0.022867181420348052,0.9805,0.0,0.038999999999999924,0.015628499608087744,0.9635,0.017,0.055999999999999994,0.021330077876609413,0.9645,0.0016666666666666668,0.06933333333333336,0.026877293183817635
gaussian_blur,σ=2.4,0.9273333333333333,0.07266666666666668,0.07266666666666668,0.02604069998205801,0.98,0.0,0.040000000000000036,0.01577159014036174,0.9608333333333333,0.016333333333333335,0.062,0.0242824811106462,0.9645,0.0016666666666666668,0.06933333333333336,0.027505554994501667
gaussian_blur,σ=2.6,0.9251666666666667,0.07483333333333336,0.07483333333333336,0.02669802843324246,0.9795,0.0,0.041000000000000036,0.015571519586161865,0.956,0.015333333333333332,0.07266666666666666,0.03035942101629153,0.9624999999999999,0.002,0.07300000000000006,0.030154578609410405
gaussian_blur,σ=2.8,0.9263333333333333,0.07366666666666663,0.07366666666666663,0.026422318007489204,0.9835,0.0,0.03300000000000003,0.012955854532475547,0.9508333333333333,0.014666666666666666,0.08366666666666667,0.036597946967312577,0.9650000000000001,0.002,0.06799999999999995,0.027923879665181818
gaussian_blur,σ=3,0.9245,0.07550000000000001,0.07550000000000001,0.02708551273282454,0.9838333333333333,0.0,0.032333333333333325,0.01238586784291769,0.9465,0.013333333333333332,0.09366666666666668,0.038828236432323894,0.9671666666666667,0.0016666666666666668,0.06399999999999995,0.025986107399489002
gaussian_blur,σ=3.2,0.9231666666666667,0.07683333333333336,0.07683333333333336,0.02783492385675074,0.9803333333333333,0.0,0.03933333333333333,0.01545243598199901,0.9426666666666667,0.012666666666666666,0.10199999999999998,0.041763221459397336,0.9665,0.0016666666666666668,0.06533333333333335,0.025349090494313383
gaussian_blur,σ=3.4,0.9265,0.07350000000000001,0.07350000000000001,0.026899246168702283,0.9826666666666666,0.0,0.034666666666666734,0.014175487449976642,0.9428333333333333,0.01,0.10433333333333339,0.04173552643332379,0.9706666666666667,0.0016666666666666668,0.05699999999999994,0.021901769334919014
gaussian_blur,σ=3.6,0.931,0.069,0.069,0.02554255028379116,0.9868333333333333,0.0,0.02633333333333332,0.01037357754639695,0.9441666666666666,0.010333333333333333,0.10133333333333339,0.041533788119500446,0.9751666666666666,0.0013333333333333333,0.04833333333333334,0.01921949242016783
gaussian_blur,σ=3.8,0.927,0.07299999999999995,0.07299999999999995,0.027658225368876337,0.9906666666666667,0.0,0.01866666666666661,0.0071860203791033455,0.952,0.008666666666666666,0.08733333333333337,0.03607707797973051,0.9793333333333334,0.0016666666666666668,0.03966666666666663,0.015151778406803885
gaussian_blur,σ=4,0.9263333333333333,0.07366666666666666,0.07366666666666666,0.028480347756537898,0.9943333333333333,0.0,0.011333333333333306,0.004278499217664467,0.9575,0.008,0.07700000000000007,0.031974273512726886,0.9833333333333333,0.0006666666666666666,0.03266666666666673,0.012891373084353763
gaussian_noise,σ=0,0.9685,0.0315,0.0315,0.011249074035966991,0.9696666666666667,0.0,0.06066666666666665,0.022768612654753946,0.9596666666666667,0.020333333333333335,0.06033333333333332,0.02217481053407722,0.9626666666666667,0.0026666666666666666,0.07200000000000001,0.029405569200408276
gaussian_noise,σ=2,0.9663333333333334,0.033666666666666664,0.033666666666666664,0.012338048085315422,0.977,0.0,0.04600000000000004,0.018180422926262707,0.9625,0.019333333333333334,0.05566666666666667,0.021430767083279543,0.9638333333333333,0.003,0.06933333333333336,0.026833333333333338
gaussian_noise,σ=4,0.9593333333333334,0.04066666666666667,0.04066666666666667,0.015095241615967746,0.9841666666666666,0.0,0.03166666666666662,0.01134558161674499,0.9605,0.021666666666666667,0.05733333333333335,0.020811321705050626,0.967,0.003,0.063,0.022873292285982793
